,GFC Proxy-Monthly
2001-12-31,0.33215038852167816
2002-01-31,0.4042176085316797
2002-02-28,0.33371900494055395
2002-03-31,0.519908146292693
2002-04-30,0.43744408834025117
2002-05-31,0.261803548764537
2002-06-30,-0.07798476646016718
2002-07-31,-0.42215637815841434
2002-08-31,-0.43288803261233394
2002-09-30,-0.9152116826647688
2002-10-31,-0.6856418288888496
2002-11-30,-0.46930501518199896
2002-12-31,-0.7227799742159716
2003-01-31,-0.8118975656839379
2003-02-28,-0.8913348875427599
2003-03-31,-1.0234877539104832
2003-04-30,-0.6458283442999743
2003-05-31,-0.4488009833445891
2003-06-30,-0.3020230735541615
2003-07-31,-0.1368271162920785
2003-08-31,0.0670373601399114
2003-09-30,0.053476251117372614
2003-10-31,0.3002550336458513
2003-11-30,0.31971402432538504
2003-12-31,0.5181573435464945
2004-01-31,0.6858981768157091
2004-02-29,0.8256476257653087
2004-03-31,0.7992657835916394
2004-04-30,0.6585212216760937
2004-05-31,0.5320017046731613
2004-06-30,0.5854128256479179
2004-07-31,0.4994910227728001
2004-08-31,0.5113138254857962
2004-09-30,0.7017024723027087
2004-10-31,0.796471167538747
2004-11-30,0.9322131437413939
2004-12-31,1.0333360696685245
2005-01-31,1.1193921831025337
2005-02-28,1.3643505114695071
2005-03-31,1.1998370345623521
2005-04-30,1.0367700010412246
2005-05-31,1.1521887517928597
2005-06-30,1.2473454453544002
2005-07-31,1.4606007232681617
2005-08-31,1.5134515060661988
2005-09-30,1.74609798115424
2005-10-31,1.5237374841098905
2005-11-30,1.699725806759383
2005-12-31,1.8258302521025573
2006-01-31,2.1137496550662145
2006-02-28,2.172263387192543
2006-03-31,2.1988678459766575
2006-04-30,2.2710521682437705
2006-05-31,1.914188368590639
2006-06-30,1.8901519100397912
2006-07-31,1.8852245742418632
2006-08-31,1.9749956892565739
2006-09-30,2.042151635207664
2006-10-31,2.1939741937147854
2006-11-30,2.3005229457649867
2006-12-31,2.4592473055554445
2007-01-31,2.561366276710192
2007-02-28,2.4857972865641185
2007-03-31,2.569101151620135
2007-04-30,2.7245737802505623
2007-05-31,2.852736150934089
2007-06-30,2.8642921168460953
2007-07-31,2.8968129716319755
