index,overlap_observations,status,overlap_start,overlap_end,level_scale,level_correlation,return_correlation,median_abs_pct_diff_after_scaling,max_abs_pct_diff_after_scaling
AEX,6767,pass,2000-01-03,2026-06-18,1.0,0.9999974520646775,0.9950507381164199,2.1042372961821503e-08,0.074654395651191
ATHEX COMP,0,historical_only,,,,,,,
BEL20,6766,pass,2000-01-03,2026-06-18,1.0,0.9999992184247752,0.9992741846954724,2.065908633680879e-08,0.01435928293745174
BET,0,historical_only,,,,,,,
BOVESPA,6557,pass,2000-01-03,2026-06-18,1.0,0.9999990017387995,0.9926062171796955,4.047790343257485e-06,0.10103842274999178
BUX,0,historical_only,,,,,,,
CAC40,6768,pass,2000-01-03,2026-06-18,0.999999996319203,0.999999537890637,0.9992866893811342,2.0925425822556676e-08,0.019392965595031435
CRB INDEX,6652,pass,2000-01-03,2026-06-18,1.0000000031953082,0.9999868568984912,0.9879085501546083,2.3696540572102586e-08,0.026483166714966616
DAX,6721,pass,2000-01-03,2026-06-18,0.9999999969279717,0.9999999491078226,0.9995710203885969,2.0769423507339365e-08,0.02330797750086274
DOW JONES COMP,6654,pass,2000-01-03,2026-06-17,1.0,0.9999999999999999,0.9999999999999999,0.0,0.0
DOW JONES INDU,6655,pass,2000-01-03,2026-06-18,1.0,0.999999997619923,0.9999842909915315,2.9280825474821454e-08,0.0022116526457816865
DOW JONES TRANS,6654,pass,2000-01-03,2026-06-17,1.0,1.0,1.0,0.0,0.0
DOW JONES UTIL,6654,pass,2000-01-03,2026-06-17,1.0,1.0,1.0,0.0,2.1344830979656064e-16
FTSE MIB,6717,pass,2000-01-03,2026-06-18,1.0,0.9999999384860804,0.9999401294074696,5.3864509213067066e-06,0.006216696269982238
FTSE250,6674,pass,2000-01-04,2026-06-18,0.9999999834945326,0.9999999461832717,0.9995786904249195,9.180454166744125e-07,0.01122136159761174
HANG SENG,6519,pass,2000-01-03,2026-06-18,1.0,0.9999995857185754,0.9995737486071534,3.1843081874077973e-08,0.014975034118603556
HEX,6645,pass,2000-01-03,2026-06-18,1.0000000266164042,0.871788014678734,0.8844055513819735,6.78397651970656e-08,0.42301192883368727
IBEX35,6732,pass,2000-01-03,2026-06-18,1.0,0.9999974191116845,0.9978458125199079,2.132756400624897e-08,0.047800365060927406
ICEX,4373,pass,2008-11-17,2026-06-18,1.0000000079059868,0.9999984915743256,0.9635709917094939,1.8754094553913489e-06,0.1458276203144417
IPC,6653,pass,2000-01-03,2026-06-18,0.9999999955945473,0.9999991962165931,0.9943946069002992,2.1522448095736603e-08,0.058790225963218666
IPSA,0,historical_only,,,,,,,
JCI,6413,pass,2000-01-04,2026-06-18,1.0000000030549148,0.9999999107239286,0.9989104605359732,5.575856871270515e-07,0.020256607901230773
JSE TOP40,6620,pass,2000-01-03,2026-06-18,1.0,0.9999999973713417,0.9999985070530036,2.0481524492201814e-08,0.0012808856305613807
KLCI,6489,pass,2000-01-03,2026-06-18,1.0,0.9999992366757902,0.9983837219764068,1.938944851802805e-08,0.012603355490643123
KOSPI,6522,pass,2000-01-04,2026-06-18,1.0,0.9999994701379048,0.9988957079156284,2.018626557245955e-08,0.037193996222028285
MDAX,6717,pass,2000-01-03,2026-06-18,1.0,0.9999995728241832,0.9989232912361026,2.304347956475021e-08,0.02173916663400142
MERVAL,6471,pass,2000-01-03,2026-06-18,0.9999997371402436,0.9999991630557414,0.9949889186782763,3.5469053475833735e-05,0.08511296416533491
MOEX,3338,review,2013-02-15,2026-06-18,24.201589954733045,0.696822092372832,0.43760626027022115,0.163995853810824,0.6121236641200077
NASDAQ COMP,6657,pass,2000-01-03,2026-06-18,0.9999999968036681,0.9999999984666457,0.9999540692031187,2.144729268819582e-08,0.006942031649354765
NASDAQ100,6655,pass,2000-01-03,2026-06-18,1.0,0.9999999951247571,0.9994934748551736,2.0691887481926504e-08,0.0257359700306148
NIKKEI225,6483,pass,2000-01-04,2026-06-18,0.9999999960758127,0.9999999503116146,0.9994952714411746,2.2387256296972292e-08,0.022828676137147463
NZX50,5887,pass,2003-01-03,2026-06-18,1.000000002675521,0.9999943242495483,0.9688580963932442,2.6750977954035878e-08,0.024399477933016618
OMX RIGA,4367,pass,2008-11-19,2026-06-18,1.0000000343143571,0.9999996421076304,0.9937548085066191,6.909923653605259e-07,0.031335382491234604
OMX STOCKHOLM,4414,review,2008-11-17,2026-06-18,6.901982900534612,0.9881799214265812,0.9754712661343365,0.24516680797575718,0.38869474669613246
OMX TALLINN,4405,pass,2008-11-17,2026-06-18,1.000000034682187,0.9999988637246934,0.987673824216727,2.1437756222417216e-06,0.02519197400236562
OMX VILNIUS,4371,pass,2008-11-17,2026-06-18,1.0000000304435097,0.9999873194789004,0.9569487103163922,5.345781188045397e-07,0.058552751601012885
OSE,3331,review,2013-03-05,2026-06-18,1.1110132899152463,0.9986747982028017,0.9847699675830689,0.021817847455382337,0.06531893842611851
PSEI,0,historical_only,,,,,,,
PSI20,3361,pass,2013-04-30,2026-06-18,1.0,0.9999903415103204,0.9940190816589771,2.187917748466042e-08,0.021573867632978194
PX,6634,pass,2000-01-05,2026-06-18,1.0,0.9999993355229666,0.9984089875311584,0.0,0.02670318384115033
RTS,0,historical_only,,,,,,,
S&P/TSX COMP,6646,pass,2000-01-04,2026-06-18,0.999999968127524,0.999999896706066,0.9996407363479308,1.6487725909751286e-06,0.007840381329301153
S&P500,6655,pass,2000-01-03,2026-06-18,1.0,0.9999999999990608,0.9999999993849742,2.2063475049636696e-08,6.979356432174888e-06
SAX,6490,pass,2000-01-07,2026-06-18,1.0,0.9999996638092977,0.9990619859054243,0.0,0.017700076012596478
SDAX,3368,pass,2013-03-05,2026-06-18,1.0,0.99999807051173,0.9984873917028754,2.3254949599675824e-08,0.012323897539065775
SENSEX,6527,pass,2000-01-03,2026-06-18,0.9999999968593856,0.9999999241549985,0.9953387680161987,2.1607229509484957e-08,0.055341477474971944
SET,0,historical_only,,,,,,,
SMI,6647,pass,2000-01-04,2026-06-18,1.0,0.9999959900848173,0.9925205833781462,2.176270055996792e-08,0.07606535525056621
SOFIX,0,historical_only,,,,,,,
SSE B-SHARE,0,historical_only,,,,,,,
SSE COMP,6409,pass,2000-01-04,2026-06-18,0.9999999883056562,0.9999984725394958,0.9986775436570178,8.469563289141786e-07,0.032548983036815166
STRAITS TIMES,6636,pass,2000-01-03,2026-06-18,0.9999999972652072,0.9999970568603641,0.9947736497522809,1.980670516385994e-08,0.039730196448559185
TAIEX,6491,pass,2000-01-04,2026-06-18,0.9999999974847136,0.999998972382582,0.9939360388815812,2.221863092359682e-08,0.01949593454764921
TASI,0,historical_only,,,,,,,
TECDAX,6716,pass,2000-01-03,2026-06-18,1.0,0.9999995193733909,0.9980398063769831,2.1254174326963124e-08,0.027046723213386265
UK100,6685,pass,2000-01-04,2026-06-18,0.9999999829110965,0.9999994502014343,0.9995833553498773,1.8376499270111094e-06,0.011029364075520265
XU100,6631,pass,2000-01-04,2026-06-18,0.9999999840940373,0.9999988710637956,0.9981898617314274,4.207940423160321e-06,0.04029390442572888
