+ Selected ^IPSA,IPSA
^TASI,TASI
^NZ50,NZX50
^SAX,SAX
^XU100,XU100
^RTS,RTS
^BEL20,BEL20
^STI,STRAITS TIMES
^SHBS,SSE B-SHARE
^DJC,DOW JONES COMP
^CAC,CAC40
^ICEX,ICEX
^DJI,DOW JONES INDU
^NKX,NIKKEI225
^BVP,BOVESPA
^MRV,MERVAL
^OSEAX,OSE
^SOFIX,SOFIX
^BUX,BUX
^DJU,DOW JONES UTIL
^SMI,SMI
^PSEI,PSEI
^SET,SET
^JCI,JCI
^TDXP,TECDAX
^PX,PX
^SPX,S&P500
^NDQ,NASDAQ COMP
^SNX,SENSEX
^BET,BET
^OMXR,OMX RIGA
^OMXT,OMX TALLINN
^TOP40,JSE TOP40
^MOEX,MOEX
^OMXV,OMX VILNIUS
^FMIB,FTSE MIB
^DJT,DOW JONES TRANS
^CRY,CRB INDEX
^MDAX,MDAX
^OMXS,OMX STOCKHOLM
^IPC,IPC
^PSI20,PSI20
^NDX,NASDAQ100
^DAX,DAX
^KOSPI,KOSPI
^ATH,ATHEX COMP
^TSX,S&P/TSX COMP
^HEX,HEX
^SHC,SSE COMP
^TWSE,TAIEX
^UKX,UK100
^HSI,HANG SENG
^SDXP,SDAX
^IBEX,IBEX35
^AEX,AEX
^FTM,FTSE250
^KLCI,KLCI
